Title,URL,Author,Date,Playbacks,Flash_comments,Duration,date_of_scraping
其实姜萍是真是假，从阿里到现在还在装死不出声，就能判断了。,https://www.bilibili.com/video/BV1EV3revEvB/,抠脚大汉一一老马,· 7分钟前,148,0,03:17,2024/06/26
王闰秋的高中班主任替学生回应姜萍事件,https://www.bilibili.com/video/BV1ts421M7Lb/,哈鲁奥菲,· 6-20,1.6万,35,02:44,2024/06/26
姜萍事件之数竞圈彻底大洗牌！！！！,https://www.bilibili.com/video/BV1tm421V77i/,热门追踪后续,· 20小时前,1.2万,1,02:22,2024/06/26
姜萍决赛3天后，凤凰网专门为她制作纪录片，网友：有人欠她500万,https://www.bilibili.com/video/BV1R4421Q7kH/,青哇阳光说太阳在,· 19小时前,1.4万,7,01:16,2024/06/26
新华网删除姜萍视频已石锤！！！！终于要开始反转了吗？,https://www.bilibili.com/video/BV1Wz421z7zR/,甄机坊,· 5小时前,6768,0,01:47,2024/06/26
狂魔哥评价姜萍事件反转,https://www.bilibili.com/video/BV1KS421o745/,魔导传媒,· 6-23,1.3万,3,01:19,2024/06/26
姜萍作弊（全）,https://www.bilibili.com/video/BV1bS421d7wo/,小Q搞笑解说,· 6-20,1.3万,2,02:24,2024/06/26
姜萍公开数学笔记，公式写得密密麻麻,https://www.bilibili.com/video/BV1r6421Z7Un/,Juhlm,· 6-19,9.5万,258,01:00,2024/06/26
狂魔哥评价姜萍数学竞赛获奖,https://www.bilibili.com/video/BV1qZ421g7JE/,魔导传媒,· 6-19,9.3万,62,00:55,2024/06/26
达摩院终于回应了！首席数学家出来作证了！！姜萍是真的有实力！！-,https://www.bilibili.com/video/BV1Zf421B7XR/,娱乐前线突击,· 18小时前,3.3万,1,01:21,2024/06/26
“质疑姜萍可以，但别太过分了”！金灿荣、司马南：我相信姜萍！,https://www.bilibili.com/video/BV1tS411N7vm/,G度,· 6-21,4.2万,88,04:30,2024/06/26
阿里员工在大卫哥直播间对姜萍事件的看法,https://www.bilibili.com/video/BV1Ri421e7v8/,原神李太冲,· 6-20,10.4万,140,05:30,2024/06/26
姜萍。如果图里的是真事，那也姜萍也不配被可怜,https://www.bilibili.com/video/BV1nf421Q73u/,布茶-,· 6-21,8328,1,01:40,2024/06/26
姜萍同学和王闰秋老师已经告诉我们真相了,https://www.bilibili.com/video/BV1iLgHeBEpb/,儒雅少年奇男子,· 6-18,13.8万,81,02:41,2024/06/26
姜萍造假事件升级，聊天记录流出，曝老师作假内幕,https://www.bilibili.com/video/BV1KM4m1m7WV/,补亿刀,· 6-21,5.7万,48,01:50,2024/06/26
姜萍采访，但是只有语气词,https://www.bilibili.com/video/BV1Ly411q75S/,葛洛卡大主教,· 6-19,15.5万,70,00:35,2024/06/26
身处数学圈来说说”姜萍事件”,https://www.bilibili.com/video/BV1cs421M7Yk/,胡小群讲数学,· 6-21,5.8万,110,01:26,2024/06/26
姜萍面相分析,https://www.bilibili.com/video/BV1dZ421M7MY/,风水命理吕元嘉,· 6-16,22.3万,850,22:33,2024/06/26
和网友对赌“500万”赵斌老师正面回应姜萍事件。,https://www.bilibili.com/video/BV1LrgVeUEky/,只有我在遗憾罢了,· 6-20,3.4万,41,11:18,2024/06/26
让人破防的不是姜萍，而是为她破格的可能性,https://www.bilibili.com/video/BV1ry411q717/,有轶见的Kris,· 19小时前,7.5万,800,16:10,2024/06/26
峰哥锐评:姜萍作弊,https://www.bilibili.com/video/BV1C4421S7rr/,峰哥锐评,· 6-19,8.3万,112,01:44,2024/06/26
周飞董事长拜访姜萍父亲,https://www.bilibili.com/video/BV194421S71p/,赣鄱视界,· 6-16,10.1万,112,01:35,2024/06/26
姜萍根本不可能作弊，决赛视频已经流出,https://www.bilibili.com/video/BV16Z421M7uu/,姜萍数学大师,· 6-23,23.6万,36,01:24,2024/06/26
