Title,URL,Author,Date,Playbacks,Flash_comments,Duration
百万粉丝博主因质疑凤凰网姜萍纪录片，其母亲深夜凌晨被电话轰炸！！！！,https://www.bilibili.com/video/BV1W6421Z7E1/,热门追踪后续,· 16小时前,6012,0,02:04,2024/06/26
姜萍作弊（全）,https://www.bilibili.com/video/BV1bS421d7wo/,小Q搞笑解说,· 6-20,1.3万,2,02:24,2024/06/26
狂魔哥评价姜萍事件反转,https://www.bilibili.com/video/BV1KS421o745/,魔导传媒,· 6-23,1.2万,3,01:19,2024/06/26
姜萍为什么会这么火？,https://www.bilibili.com/video/BV1X1421r7Bi/,赵任之,· 2小时前,387,0,06:10,2024/06/26
疑似最新姜萍视频流出！决赛后可能已回学校!正常读书，大老板也来了，狂送姜萍父亲五千块钱和两头大铁牛！,https://www.bilibili.com/video/BV1GJ4m1u7BJ/,综艺娱乐官方,· 昨天,14.3万,0,01:36,2024/06/26
姜萍根本不可能作弊，决赛视频已经流出,https://www.bilibili.com/video/BV16Z421M7uu/,姜萍数学大师,· 6-23,23.5万,36,01:24,2024/06/26
为什么复旦大学教授评价姜萍latex熟练就会引发巨大争议？,https://www.bilibili.com/video/BV1TW421R7w7/,考研数学杰哥,· 6-21,36.8万,294,03:02,2024/06/26
小某书上关于JP删视频的评论，友军还是不少的，哈哈哈～～（姜萍）,https://www.bilibili.com/video/BV1gW3qeGEPG/,bili_428878558,· 1小时前,117,0,02:39,2024/06/26
官方也开始质疑姜萍了?【人民日报】报道姜萍的视频底下全是反转,https://www.bilibili.com/video/BV19E421P73L/,是绅士汤呀,· 1小时前,7005,0,01:16,2024/06/26
【终极解惑】姜萍事件，到底是真是假？,https://www.bilibili.com/video/BV1CZ421M7Dr/,司空离,· 6-19,14.6万,781,03:07,2024/06/26
姜萍事件到底是真天才还是造假，舆论的背后是谁在推动,https://www.bilibili.com/video/BV1VL3qemE8X/,岂晓亮,· 54分钟前,148,0,04:54,2024/06/26
阿里达摩院姜萍事件：科研没有神是团队人民的力量！聊聊工业界学术界大佬的流动性,https://www.bilibili.com/video/BV11E421N7FM/,五云寨主,· 3小时前,1438,2,10:49,2024/06/26
姜萍事件真相已出？官媒亲自下场回应，三位乡邻的言论成最好证据,https://www.bilibili.com/video/BV1hT421a7rg/,花花说娱-,· 1小时前,271,0,02:09,2024/06/26
小某书上关于JP删视频的评论，友军还是不少的，哈哈哈～～（姜萍）,https://www.bilibili.com/video/BV1gW3qeGEPG/,bili_428878558,· 1小时前,117,0,02:39,2024/06/26
官方也开始质疑姜萍了?【人民日报】报道姜萍的视频底下全是反转,https://www.bilibili.com/video/BV19E421P73L/,是绅士汤呀,· 1小时前,7005,0,01:16,2024/06/26
【终极解惑】姜萍事件，到底是真是假？,https://www.bilibili.com/video/BV1CZ421M7Dr/,司空离,· 6-19,14.6万,781,03:07,2024/06/26
姜萍事件到底是真天才还是造假，舆论的背后是谁在推动,https://www.bilibili.com/video/BV1VL3qemE8X/,岂晓亮,· 54分钟前,148,0,04:54,2024/06/26
阿里达摩院姜萍事件：科研没有神是团队人民的力量！聊聊工业界学术界大佬的流动性,https://www.bilibili.com/video/BV11E421N7FM/,五云寨主,· 3小时前,1438,2,10:49,2024/06/26
姜萍事件真相已出？官媒亲自下场回应，三位乡邻的言论成最好证据,https://www.bilibili.com/video/BV1hT421a7rg/,花花说娱-,· 1小时前,271,0,02:09,2024/06/26
姜萍事件最新消息，已有正义之光去12339跟12345举报投诉了！真象即将大白,https://www.bilibili.com/video/BV1Nx4y1t71W/,综艺娱乐官方,· 3小时前,3505,0,02:31,2024/06/26
周飞董事长拜访姜萍父亲,https://www.bilibili.com/video/BV194421S71p/,赣鄱视界,· 6-16,10.1万,110,01:35,2024/06/26
王闰秋的高中班主任替学生回应姜萍事件,https://www.bilibili.com/video/BV1ts421M7Lb/,哈鲁奥菲,· 6-20,1.6万,34,02:44,2024/06/26
姜萍事件最新决定性证据，被自己人自爆！,https://www.bilibili.com/video/BV1oS411w7WZ/,最新速报,· 6-21,4.4万,1,01:07,2024/06/26
姜萍决赛3天后，凤凰网专门为她制作纪录片，网友：有人欠她500万,https://www.bilibili.com/video/BV1R4421Q7kH/,青哇阳光说太阳在,· 12小时前,1.3万,7,01:16,2024/06/26
姜萍的母校有多强，大型纪录片《涟水中专传奇》为您震撼播出,https://www.bilibili.com/video/BV1Pc3EeLEEa/,卖个阿sir记录生活,· 6-24,8702,201,01:27,2024/06/26
【姜萍事件】，疑是阿里初赛前十的人来站队了,https://www.bilibili.com/video/BV1Nx4y1t7B3/,热门追踪后续,· 6-22,1.3万,0,03:32,2024/06/26
姜萍事件逆天主持人：我有一个中学同学百米9秒！！！,https://www.bilibili.com/video/BV1JT421Y7sN/,热门追踪后续,· 6-24,2.5万,82,05:38,2024/06/26
六爻测姜萍,https://www.bilibili.com/video/BV1rT421a7rZ/,天水狂狂派命理创始人,· 6-18,5.3万,56,20:02,2024/06/26
姜萍：该不该自证,https://www.bilibili.com/video/BV1jM4m1m7Eg/,Tt创飞生活实录,· 2小时前,337,0,07:49,2024/06/26
姜萍同校同学石锤网传成绩单保真！！！,https://www.bilibili.com/video/BV1yw4m1e7oJ/,热门追踪后续,· 6-21,5.3万,4,01:43,2024/06/26
【姜萍事件】，已有正义之光去12339跟12345举报投诉了！真象即将大白？,https://www.bilibili.com/video/BV1ET421a7M5/,综艺娱乐官方,· 1小时前,865,0,02:34,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!-,https://www.bilibili.com/video/BV1sr421F7Ye/,是绅士汤呀,· 5小时前,9359,2,14:48,2024/06/26
最新姜萍视频流出！决赛后可能已回学校!正常读书，大老板也来了，狂送姜萍父亲五千块钱和两头大铁牛！-,https://www.bilibili.com/video/BV1mz421B7oC/,娱乐前线突击,· 昨天,4.3万,8,01:35,2024/06/26
峰哥锐评:姜萍作弊,https://www.bilibili.com/video/BV1C4421S7rr/,峰哥锐评,· 6-19,8.2万,110,01:44,2024/06/26
姜萍同学不要去浙大读书去浙大当教授吧,https://www.bilibili.com/video/BV1xx4y1t7yH/,上交学长瑞哥,· 6-15,10.6万,61,02:12,2024/06/26
平和校长在姜萍事件初期谈姜萍，一下子就道出事件本质,https://www.bilibili.com/video/BV1KM4m1U7jY/,哈鲁奥菲,· 6-23,4.5万,49,01:54,2024/06/26
姜萍造假事件升级，聊天记录流出，曝老师作假内幕,https://www.bilibili.com/video/BV1KM4m1m7WV/,补亿刀,· 6-21,5.7万,48,01:50,2024/06/26
从达摩院过几天的态度其实就可以判断出姜萍的真实水平是什么。,https://www.bilibili.com/video/BV1Kd37eUEeJ/,抠脚大汉一一老马,· 昨天,1.8万,3,02:10,2024/06/26
恕我直言-阿里巴巴达摩院、王闰秋必然涉嫌竞赛造假-一手消息-自己判断-姜萍-中专生,https://www.bilibili.com/video/BV15tgNexEbC/,博爱的坏蛋,· 6-19,2.2万,76,17:12,2024/06/26
以胡锡进为例，剖析姜萍支持者,https://www.bilibili.com/video/BV1Hy411q7oz/,汤圆老师呢,· 6-24,1万,45,08:12,2024/06/26
【人民日报】报道姜萍的视频底下评论区网友留言真大胆哈哈哈哈,https://www.bilibili.com/video/BV1YZ421M7oC/,热门追踪后续,· 11小时前,1.3万,0,01:13,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV14S411N7bG/,是绅士汤呀,· 8小时前,1.4万,8,11:56,2024/06/26
姜萍同学和王闰秋老师已经告诉我们真相了,https://www.bilibili.com/video/BV1iLgHeBEpb/,儒雅少年奇男子,· 6-18,13.7万,81,02:41,2024/06/26
姜萍：小裁缝成天才？部分网友:“不行！她必须跌下神坛”,https://www.bilibili.com/video/BV1Ub421J7hb/,半耳聆,· 6-19,37.4万,2122,05:31,2024/06/26
五百万人看“姜萍”决赛。,https://www.bilibili.com/video/BV1zy411z7tY/,鬼邪君GL,· 6-23,14.1万,163,03:13,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1Ab421n7gM/,甄机坊,· 昨天,8.2万,20,08:21,2024/06/26
和网友对赌“500万”赵斌老师正面回应姜萍事件。,https://www.bilibili.com/video/BV1LrgVeUEky/,只有我在遗憾罢了,· 6-20,3.4万,40,11:18,2024/06/26
身处数学圈来说说”姜萍事件”,https://www.bilibili.com/video/BV1cs421M7Yk/,胡小群讲数学,· 6-21,5.8万,110,01:26,2024/06/26
狂魔哥评价姜萍数学竞赛获奖,https://www.bilibili.com/video/BV1qZ421g7JE/,魔导传媒,· 6-19,9.3万,61,00:55,2024/06/26
"户晨风被数学家姜萍事件震惊,这他妈也能造假?",https://www.bilibili.com/video/BV12n4y1X7oo/,支持姜萍版戶晨风,· 6-19,11.1万,108,06:46,2024/06/26
姜萍事件最终结局走向,https://www.bilibili.com/video/BV1jtgTePEyF/,傅里叶の级数,· 6-19,1.4万,28,10:42,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1zn4y1X7iC/,甄机坊,· 4小时前,3万,6,08:21,2024/06/26
姜萍真的是数学天才！！！达摩院wotaoyin教授出来作证了！！！,https://www.bilibili.com/video/BV1Rz421B7EJ/,娱乐前线突击,· 54分钟前,457,0,01:20,2024/06/26
丧尽天良！姜萍粉丝大半夜开盒辱骂61岁脑梗老母亲！30秒开始！,https://www.bilibili.com/video/BV1wm42157ho/,最新速报,· 9小时前,1.5万,15,01:31,2024/06/26
